sheet,etype,spec,designation,supplier,oem,qty,status,denominator,size,base_unit,services_unit,tax_pct,normalized,allin_reported,allin_calc,delta
Summary-Equipment Pricing (DA1),MV Gear,35kV lineups​; 2500A Metalclad,Base OFCI,Parrish Hare,Powell,16,Executed,$/A,2500.0,3680420.5135,160000.0,0.06475,1472.17,4089320.655811625,4089087.74,232.92
Summary-Equipment Pricing (DA1),Generators,3 MW; 78 L​,Base OFCI,Cummins,Cummins,5,Executed,$/MW,3.0,1968600.0,0.0,0.06475,656200.0,2211059.85,2096066.85,114993.0
Summary-Equipment Pricing (DA1),Padmount Transformer,600A RMU; 5000kVA,Base OFCI,Eaton,Eaton,288,Executed,$/kVA,5000.0,454429.8,22065.779166666667,0.06475,90.89,507533.5203482639,507348.67,184.85
Summary-Equipment Pricing (DA1),Padmount Transformer,600A RMU; 5000kVA,Base OFCI,Parrish Hare,GE Prolec,288,Executed,$/kVA,5000.0,283909.0,3500.0,0.06475,56.78,306074.1884791667,306018.73,55.46
Summary-Equipment Pricing (DA1),RMU,600A,Base OFCI,Parrish Hare,Powell,144,Executed,$/A,600.0,268898.0,16100.0,0.06475,448.16,303488.5909861111,303451.62,36.97
Summary-Equipment Pricing (DA1),Padmount Transformer - Mech,600A RMU; 3250kVA,Base OFCI,Eaton,Eaton,144,Executed,$/kVA,3250.0,395694.2,22084.2125,0.06475,121.75,445199.26957048615,444829.56,369.71
Summary-Equipment Pricing (DA1),Padmount Transformer - Mech,600A RMU; 3250kVA,Base OFCI,Parrish Hare,GE Prolec,144,Executed,$/kVA,3250.0,171785.0,19600.0,0.06475,52.86,203888.09020833333,203777.18,110.91
Summary-Equipment Pricing (DA1),RMU - Mech,600A,Base OFCI,Parrish Hare,Powell,72,Executed,$/A,600.0,268898.0,16100.0,0.06475,448.16,303525.5614722222,303451.62,73.94
Summary-Equipment Pricing (DA1),Air-Cooled Chillers - Compute,850-ton; mag-bearing,Base OFCI,Trane,Trane,360,Executed,$/ton,850.0,1437500.0,9600.0,0.06475,1691.18,1540977.1833333333,1540799.73,177.45
Summary-Equipment Pricing (DA1),Thermal Pump Skid,"8"" piping, 3000 gal TES tank",Base OFCI,Trane,Trane,360,Executed,$/unit,1.0,261320.0,3200.0,0.06475,261320.0,281736.39916666667,281647.67,88.73
Summary-Equipment Pricing (DA1),Thermal Pump Skid,"8"" piping, 3000 gal TES tank",Base OFCI,Trane,Trane,360,Executed,$/unit,1.0,261320.0,3200.0,0.06475,261320.0,281647.67,281647.67,0.0
Summary-Equipment Pricing (DA1),LV Switchboard - Mech,"4000A, 3W, 480V",Base OFCI,Eaton,Eaton,144,Executed,$/A,4000.0,396627.72055555554,18868.01,0.06475,99.16,442620.90202569443,442399.08,221.82
